ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
23,Afghanistan,AFG,,,Asia,Movement restrictions,Border checks ,Yes,All China and Iran nationals,1/02/2020,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,14/03/2020,
27,Albania,ALB,,,Europe,Movement restrictions,Flights suspension,Yes,Italy until 3rd April,9/03/2020,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,14/03/2020,
28,Albania,ALB,Tirana and Durres,,Europe,Movement restrictions,Travel restrictions,No,vehicle movement restrictions,16/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
29,Albania,ALB,,,Europe,Social distancing,Schools closure ,No,"All schools are closed from March 10, 2020 until March 23, 2020",10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
30,Albania,ALB,,,Europe,Social distancing,Limit public gatherings,No,Until 3rd April,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
31,Albania,ALB,,,Europe,Movement restrictions,Checkpoints,Yes,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
32,Albania,ALB,,,Europe,Public health measures,Introduction of quarantine policies,Yes,All people entering the country for 15 days,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
34,Albania,ALB,,,Europe,Social and economic measures,Economic measures,No,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,12/03/2020,BalkanInSight,Media,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,14/03/2020,https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html
35,Albania,ALB,,,Europe,Public health measures,Awareness campaigns,No,,11/03/2020,US Embassy ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,14/03/2020,
925,Albania,ALB,,,Europe,Public health measures,Health screenings in airports and border crossings,No,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,19/03/2020,US embassy of Albania ,Government,https://al.usembassy.gov/updates_covid19/,20/03/2020,
926,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,No,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,19/03/2020,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,20/03/2020,https://al.usembassy.gov/updates_covid19/
931,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,No,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,20/03/2020,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,20/03/2020,
932,Albania,ALB,,,Europe,Movement restrictions,Border closure ,Yes,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",14/03/2020,US Embassy of Albania ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,20/03/2020,
36,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,No,,5/03/2020,xinhuanet,Media,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,14/03/2020,
37,Algeria,DZA,,,Africa,Social distancing,Schools closure ,No,until 5th April,12/03/2020,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,14/03/2020,
39,Algeria,DZA,,,Africa,Movement restrictions,Border checks ,Yes,Entry denied to people with symptoms,1/03/2020,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,14/03/2020,
40,Algeria,DZA,,,Africa,Social distancing,Limit public gatherings,No,,1/03/2020,qantara 13/03/2020,Media,https://en.qantara.de/content/coronavirus-in-the-islamic-world-the-challenges-of-covid-19,14/03/2020,
961,Algeria,DZA,,,Africa,Social distancing,Public services closure ,No,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
962,Algeria,DZA,,,Africa,Movement restrictions,Border closure ,No,All land borders.,17/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
963,Algeria,DZA,,,Africa,Movement restrictions,Flights suspension,No,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
964,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,No,Programs to disinfect mass transit and public areas,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
978,Algeria,DZA,,,Africa,Public health measures,Introduction of quarantine policies,Yes,Quarantining known confirmed COVID-19 cases within its borders,18/03/2020,US Embassy of Algeria ,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
41,Angola,AGO,,,Africa,Public health measures,Health screenings in airports and border crossings,Yes,"China, South Korea, Iran, and Italy",3/03/2020,US Embassy ,Government,https://ao.usembassy.gov/covid-19-information/,14/03/2020,
42,Angola,AGO,,,Africa,Public health measures,Introduction of quarantine policies,Yes,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,3/03/2020,US Embassy ,Government,https://ao.usembassy.gov/covid-19-information/,14/03/2020,
48,Angola,AGO,,,Africa,Public health measures,Awareness campaigns,No,,11/03/2020,ANGOP 12/03/2020,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/11/COVID-Angola-strengthens-health-surveillance-borders,df99638c-87ca-4bee-ae7f-78d3246a901b.html",14/03/2020,
1070,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,No,"All international flights to and from Angola will be suspended as of Friday, March 20",20/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,21/03/2020,
1071,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,Yes,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",4/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-4,21/03/2020,
1072,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,Yes,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",1/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-5,21/03/2020,
1073,Angola,AGO,,,Africa,Movement restrictions,Travel restrictions,Yes,the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine,6/02/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-6,21/03/2020,
9,Antigua and Barbuda,ATG,,,Americas,Public health measures,Awareness campaigns,No,Sanitation and hygiene recommendations,13/03/2020,Prime Minister's Statement,Government,https://ab.gov.ag/media_page.php?page=227,14/03/2020,
228,Antigua and Barbuda,ATG,,,Americas,Movement restrictions,Visa restrictions,Yes,"    Passengers and airline crew who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and resident diplomats of Antigua and Barbuda who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are allowed entry. Airlines must provide their advance passenger information before departure. ",,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,15/03/2020,
848,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Limit public gatherings,No,"30 day ban on all fete, parties and similar social events as a pre-emptive measure to prevent the contracting and spread of the coronavirus / covid-19.",16/03/2020,Tourism Authority,Government,https://visitantiguabarbuda.com/contact-us/,20/03/2020,
981,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Limit public gatherings,Yes,Measures implemented at water payment centers: Senior citizens given priority in customer queues; controlled lines at payment centers enforced; use of sanitation station required on entry to office; designated waiting area to facilitate social distancing ,16/03/2020,Public Works Authority,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,20/03/2020,
982,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Awareness campaigns,Yes,"Members of the Antigua and Barbuda Hotels and Tourist Association met with officials from the Ministry of Health, the Antigua Workers Unions and the Ministry of Tourism to educate about COVID 19 action plan",3/03/2020,"Press Release, Antigua & Barbuda Government",Government,https://ab.gov.ag/media_page.php?page=225,20/03/2020,
1000,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Schools closure ,No,All educational institutions closed until 27 March 2020 with possibility of extension,15/03/2020,"Ministry of education, Science, and Technology",Government,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,20/03/2020,
1013,Antigua and Barbuda,ATG,,,Americas,Social and Economic Measures,Emergency administrative structures activated or established,No,Antigua Public Utilities Authority (APUA) created an internal taskforce  to recommend systematic business continuity plans that can be implemented,16/03/2020,Antigua & Barbuda Government ,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,20/03/2020,
1014,Antigua and Barbuda,ATG,,,Americas,Social and Economic Measures,Economic measures,Yes,"Calls made to COVID Hotline 463-6843 will not incur charges from inet home, mobile and",16/03/2020,Antigua & Barbuda Government ,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,20/03/2020,
24,Argentina,ARG,,,Americas,Movement restrictions,Flights suspension,No,business numbers.,12/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,14/03/2020,
25,Argentina,ARG,,,Americas,Movement restrictions,Visa restrictions,No,For long term ,11/03/2020,Ministry of Foreign Affairs - Francce,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,14/03/2020,https://www.boletinoficial.gob.ar/detalleAviso/primera/226653/20200312
26,Argentina,ARG,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"From Europe, UK, USA, South Korea, Japan, China and Iran, for 14 days",12/03/2020,Ministry of Foreign Affairs - Francce,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,14/03/2020,
847,Argentina,ARG,,,Americas,Social distancing,Limit public gatherings,No,Restrict public gathering for sport events and closes cultural spaces,12/03/2020,Ministry of Health ,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
849,Argentina,ARG,,,Americas,Movement restrictions,Border closure ,Yes,"For non-residents and travellers from the Schengen Area, UK, US, Iran, China, Japan and South Corea",15/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/,20/03/2020,
868,Argentina,ARG,,,Americas,Movement restrictions,Travel restrictions,No,"Restriction on intercity domestic buses, trains, and flights through Wednesday, March 25",19/03/2020,Ministry of Foreign Affairs - US,Government,https://ar.usembassy.gov/covid-19/,20/03/2020,
869,Argentina,ARG,Buenos Aires,,Americas,Movement restrictions,Travel restrictions,No,Forbidding standing room passengers in public transports,19/03/2020,Ministry of Foreign Affairs - US,Government,https://ar.usembassy.gov/covid-19/,20/03/2020,
873,Argentina,ARG,,,Americas,Social distancing,Public services closure ,No,All relevant public services transfered online.,16/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
875,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Social protection plan to ensure alimentation and health for all,16/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
876,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Plan of investment to protect employment and the economy,17/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
877,Argentina,ARG,,,Americas,Public health measures,Strengthening the public health system,No,Construction of 8 temporary hospitals,18/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
878,Argentina,ARG,,,Americas,Social and economic measures,General lockdown,No,"Until 31st of March included, travels are restricted excepted for valid reasons , enforced by the police",19/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
879,Argentina,ARG,,,Americas,Public health measures,Awareness campaigns,No,Campaign for argentinians abroad,17/02/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
63,Armenia,ARM,,,Middle East,Public health measures,Health screenings in airports and border crossings,No,New arrivals also fill out information forms,10/03/2020,Government of the Republic of Armenia,Government,https://www.gov.am/en/news/item/9722/,14/03/2020,https://armenpress.am/eng/news/1002866.html
65,Armenia,ARM,,,Middle East,Movement restrictions,Travel restrictions,Yes,Iran,24/02/2020,US Embassy ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,14/03/2020,https://eurasianet.org/following-coronavirus-outbreak-in-iran-armenia-closes-border-and-azerbaijan-keeps-it-open
66,Armenia,ARM,,,Middle East,Movement restrictions,Visa restrictions,Yes,"Iran, China",11/03/2020,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,14/03/2020,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/
67,Armenia,ARM,,,Middle East,Movement restrictions,Border closure ,Yes,"Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross ",14/03/2020,US Embassy ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,14/03/2020,
69,Armenia,ARM,,,Middle East,Public health measures,Awareness campaigns,No,,31/01/2020,Government of the Republic of Armenia,Government,https://www.gov.am/en/news/item/9668/,14/03/2020,
73,Armenia,ARM,,,Middle East,Public health measures,Introduction of quarantine policies,Yes,For those with symptoms,13/03/2020,Ministry of health,Government,http://www.moh.am/#3/2677,14/03/2020,
430,Armenia,ARM,,,Middle East,Social distancing,Schools closure ,Yes,,3/02/2020,Civilnet,Media,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,16/03/2020,
1003,Armenia,ARM,,,Middle East,Social and economic measures,State of emergency declared,No,,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1004,Armenia,ARM,,,Middle East,Social distancing,Schools closure ,No,All schools and Universities ,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1005,Armenia,ARM,,,Middle East,Social distancing,Limit public gatherings,No,Prohibition of all events over 20 persons ,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1006,Armenia,ARM,,,Middle East,Movement restrictions,Travel restrictions,Yes,suspended entry into the country arriving from areas with high risk of COVID-19 infections ,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1007,Armenia,ARM,,,Middle East,Public health measures,Health screenings in airports and border crossings,No,symptoms checks and health questionnaires for all travelers permitted to enter the country.,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1012,Armenia,ARM,,,Middle East,Movement restrictions,Border closure ,Yes,Iran *exceptions: citizens of these respective nations are permitted to return and some cargo deliveries may cross the borders ,16/03/2020,US Embassy of Armenia ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
93,Australia,AUS,,,Pacific,Movement restrictions,Travel restrictions,Yes,"Citizens from China, Italy, South Korea, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. ",1/03/2020,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,14/03/2020,
94,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"14 days self-quarantine, for nationals arriving from China, Italy, Iran or South Korea",1/03/2020,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,14/03/2020,
95,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,Mass gatherings of more than 500 banned,13/03/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
96,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,No,Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. ,1/03/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
97,Australia,AUS,,,Pacific,Public health measures,Strengthening the public health system,No,Additional masks and funding,12/03/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
98,Australia,AUS,,,Pacific,Social and economic measures,Emergency administrative structures activated or established,No,Australian Health Sector Emergency Plan Activated,17/02/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
1074,Australia,AUS,,,Pacific,Public health measures,Awareness campaigns,Yes,Subscription service available for COVID-19 newsletter for GPs,17/03/2020,Ministry of Health,Government,https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available,21/03/2020,
1075,Australia,AUS,,,Pacific,Public health measures,Awareness campaigns,No,A national campaign has launched to inform all Australians about the coronavirus (COVID-19).,20/03/2020,Ministry of Health,Government,https://www.health.gov.au/news/subscription-service-for-covid-19-newsletter-for-gps-now-available,21/03/2020,
1076,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"Additional funding of $444.6 million to strengthen the aged care industry, with specific mechanisms to reinforce the aged care workforce.",20/03/2020,Ministry of Health,Government,https://www.health.gov.au/ministers/senator-the-hon-richard-colbeck/media/measures-to-support-senior-australians-and-those-who-care-for-them,21/03/2020,
1077,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"From 1 May 2020, you must have had your influenza vaccination to visit an aged care facility.",18/03/2020,Ministry of Health,Government,https://www.health.gov.au/news/advice-for-aged-care-facilities-and-visitors-to-residents,21/03/2020,
1078,Australia,AUS,,,Pacific,Movement restrictions,Border closure ,No,"From 9pm AEDT 20 March 2020, our borders are closed except for Australian citizens, residents and immediate family members. Arrivals must self isolate for 14 days",20/03/2020,Aust Govt,Government,https://www.australia.gov.au,21/03/2020,
1079,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"All travellers to Australia are required to self-isolate for 14 days, either at home or in a hotel.",20/03/2020,Aust Govt,Government,https://www.australia.gov.au,21/03/2020,
1080,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,Australian banks to defer loan repayments for small businesses affected by COVID-19 by 6 months. ,20/03/2020,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-0,21/03/2020,
1081,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,"Non-essential indoor gatherings of fewer than 100 people permitted if in a given occupied space, there must be a density of no more than one person per four square metres of floor space. The 4 square metre arrangements for venues will come into effect from 20 March 2020 and will be mandated through state and territory regulatory arrangements.",20/03/2020,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-1,21/03/2020,
1082,Australia,AUS,,,Pacific,Social and economic measures,Emergency administrative structures activated or established,Yes,"Under the Commonwealth Biosecurity Act 2015 states and territories will nominate remote Indigenous areas in consultation with Indigenous communities, and an emergency requirement determined under the Biosecurity Act 2015 will restrict persons from entering or leaving those nominated areas.",20/03/2020,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-2,21/03/2020,
1083,Australia,AUS,,,Pacific,Social distancing,Changes in prison-related policies,Yes,"State and Territory leaders agreed that from 20 March 2020 each State’s and Territory’s adult correctional system will restructure personal prison visits to help manage the risk posed to prisoners and staff by the introduction of COVID-19 into custodial facilities. Depending on their operational needs, this may include stopping visits in some jurisdictions",20/03/2020,Aust Govt,Government,https://www.pm.gov.au/media/update-coronavirus-measures-2,21/03/2020,
1100,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,"Australian authorities closed Bondi beach and removed hundreds of people from other popular Sydney beaches on Saturday, citing the “irresponsible behaviour” of large crowds that had gathered in clear defiance of public health warnings of gatherings over 500 people.",20/03/2020,The Guardian,Media,https://www.theguardian.com/australia-news/2020/mar/21/bondi-beach-closed-down-after-crowds-defy-ban-on-gatherings-of-more-than-500-people?utm_term=RWRpdG9yaWFsX0d1YXJkaWFuVG9kYXlVS19XZWVrZW5kLTIwMDMyMQ%3D%3D&utm_source=esp&utm_medium=Email&CMP=GTUK_email&utm_campaign=GuardianTodayUK,21/03/2020,
1421,Australia,AUS,,,Pacific,Social distancing,Public services closure ,Yes,"Pubs, licensed clubs and hotels (excluding accommodation), places of worship, gyms, indoor sporting venues, cinemas, casinos to close from midday Monday, March 22 for at least 6 months",22/03/2020,Aust Govt,Government,https://www.australia.gov.au,22/03/2020,
1422,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,No non-essential gatherings of more than 500 people outside or more than 100 people inside. All non-essential indoor gatherings of less than 100 people must have no more than one person per 4sqm. All Australians should expect their local businesses to be following this rule.,22/03/2020,Aust Govt,Government,https://www.australia.gov.au,22/03/2020,
1423,Australia,AUS,"NSW, Vic, ACT",,Pacific,Social distancing,Public services closure ,Yes,"All non-essential services in New South Wales, Victoria, and the Australian Capital Territory will be shut down over the next two days excluding supermarkets, petrol stations, pharmacies, convenience stores, freight and logistics, and home delivery. ",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,22/03/2020,
1424,Australia,AUS,"Vic, ACT",,Pacific,Social distancing,Schools closure ,Yes,"In Victoria, school holidays will also be brought forward to enable schools to close from Tuesday. Schools in Canberra will be open on Monday but move to online learning from Tuesday.",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,22/03/2020,
1425,Australia,AUS,,,Pacific,Public health measures,General recommendations,No,PM urged Australians to cancel all non-essential domestic travel.,22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,22/03/2020,
1426,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"Government’s new $66 billion coronavirus stimulus to provide relief for small business, casuals and welfare recipients",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/government-s-66-billion-coronavirus-stimulus-to-provide-relief-for-small-business-casuals-and-welfare-recipients,22/03/2020,
1427,Australia,AUS,"SA, WA, Tas, NT",,Pacific,Movement restrictions,Border closure ,Yes,"South Australia and Western Australia will effectively close their borders on March 24 at 4pm anyone entering the state would be subject to a mandatory 14-day isolation period. Essential services, including the supply of food would not be affected. Tasmania and the Northern Territory already have such restrictions in place.",22/03/2020,SBS News,Media,https://www.sbs.com.au/news/states-to-shut-down-non-essential-services-victorian-school-holidays-brought-forward,22/03/2020,
1428,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"The Government is allowing individuals “in financial stress” by the Coronavirus to access up to $10,000 of their superannuation in 2019-20 and a further $10,000 in 2020-21.",22/03/2020,Aust Treasury,Government,https://treasury.gov.au/coronavirus/households,22/03/2020,
1429,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,Yes,"The Government is guaranteeing unsecured small business loans up to $AU250,000 for lenders providing credit to existing small business customers. This reform will help small businesses get access to credit quickly and efficiently.",22/03/2020,Aust Treasury,Government,https://treasury.gov.au/coronavirus/business-investment,22/03/2020,
405,Austria,AUT,,,Europe,Social and economic measures,General lockdown,No,"Citizens are suspend all non-essential activities outside their homes and stay in their homes for the duration for one week; ecemptions are essential work, for essential shopping or services, helping someone else, physical activity if alone or with co-living persons",16/03/2020,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,15/03/2020,
407,Austria,AUT,,,Europe,Social distancing,Limit public gatherings,No,ban of public gatherings over 5 people; closure of restaurants,16/03/2020,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,15/03/2020,
